clips,num_clips,source_file,fps,height,width,duration,mask_end_sec,min_end_sec_needed,cached_frames,min_frame_needed
"['S7V5F9U7N6_unknown_32_0_1', 'S7V5F9U7N6_unknown_32_0_2']",2,A.W._Home_Videos_AMES_S7V5F9U7N6/12-16 Month Home Videos/12713209_1708761326028553_1511301085_n.mp4,29.875551705049016,1280.0,720.0,45.22092222222222,20.25067205362283,38.0,605.0,1135.2709647918625
"['N3L7A1I2B9_14_month_154_1_1', 'N3L7A1I2B9_14_month_154_1_2', 'N3L7A1I2B9_14_month_154_2_0', 'N3L7A1I2B9_14_month_154_2_1']",4,G.S._Home_Videos_AMES_N3L7A1I2B9/12-16 month videos/20200709_082328.mp4,29.94,1920.0,1080.0,274.24849699398794,76.1189044756179,253.0,2279.0,7574.820000000001
"['A6Z2B3J2A9_36_month_181_0_2', 'A6Z2B3J2A9_36_month_181_0_3']",2,I.G._Home_Videos_AMES_A6Z2B3J2A9/34-38 month videos/VID_20190421_082755034.mp4,29.897004064332023,1080.0,1920.0,268.72257777777776,124.09270146322572,206.0,3710.0,6158.782837252396
"['G7P6U6U2J5_14_month_197_0_7', 'G7P6U6U2J5_14_month_197_0_8', 'G7P6U6U2J5_14_month_197_0_9', 'G7P6U6U2J5_14_month_197_0_10']",4,J.H._Home_Videos_AMES_G7P6U6U2J5/12-16 month videos/0412201446.mp4,30.00583212557271,1920.0,1080.0,308.4067111111111,88.04954946569651,187.0,2642.0,5611.090607482097
"['D4Y7P4G2V4_36_month_294_0_0', 'D4Y7P4G2V4_36_month_294_0_1', 'D4Y7P4G2V4_36_month_294_1_0', 'D4Y7P4G2V4_36_month_294_1_1']",4,N.S._Home_Videos_AMES_D4Y7P4G2V4/20210912_214928.mp4,30.035362614861945,1920.0,1080.0,1036.7446,179.75478003147177,1035.0,5399.0,31086.600306382115
['D4Y7P4G2V4_36_month_296_0_3'],1,N.S._Home_Videos_AMES_D4Y7P4G2V4/20211027_212128.mp4,60.01863643422892,1920.0,1080.0,143.0888888888889,99.66904207421209,103.0,5982.0,6181.919552725579
['K2F6S2Q7M8_36_month_333_2_0'],1,S.M._Home_Videos_AMES_K2F6S2Q7M8/34-38 month videos/IMG_6810.MOV,30.004051863857374,1920.0,1080.0,49.36,35.561863605671846,38.0,1067.0,1140.1539708265802
